gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
mdth,AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,4,24.81,0.5,,10000000,0.77,0.1
mdtm,AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,32.68,0.49,,10000000,0.77,0.09
mdtn,AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,18.8,0.29,,10000000,0.38,0.06
mdto,AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,5.56,0.11,Escherichia coli (chromosome): 2; ,10000000,0.38,0.02
mdtp,AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,15.54,0.2,,10000000,0.38,0.04
mef(en2),AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,44,92.04,5.21,Bacteroides fragilis (chromosome): 1; ,10000000,8.43,1.0
qnrb5,AMR_TR-DNA-NOVA1-09-zpst_S75,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,4,70.48,0.88,,10000000,0.77,0.17
rpob2,AMR_TR-DNA-NOVA1-09-zpst_S75,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,24,15.19,0.04,,10000000,4.6,0.01
sul2,AMR_TR-DNA-NOVA1-09-zpst_S75,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.6324,100.0,Unknown taxonomy (chromosome or plasmid),27,100.0,4.26,,10000000,5.18,0.82
tem-166,AMR_TR-DNA-NOVA1-09-zpst_S75,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,11,73.64,1.38,Klebsiella pneumoniae (chromosome or plasmid): 1; ,10000000,2.11,0.26
tet(32),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,99.8438,92.255,Unknown taxonomy (chromosome) Enterococcus hirae (chromosome or plasmid),136,100.0,9.88,Enterococcus hirae (chromosome): 1; Bifidobacterium longum (chromosome): 1; ,10000000,26.07,1.89
tet(40),AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,4,36.45,0.38,,10000000,0.77,0.07
tet(a),AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,19,70.82,2.11,,10000000,3.64,0.4
tet(b),AMR_TR-DNA-NOVA1-09-zpst_S75,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,6,50.08,0.75,,10000000,1.15,0.14
tet(o),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,73,100.0,5.11,Streptococcus suis (chromosome or plasmid): 5; ,10000000,13.99,0.98
tet(o/32/o),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12,23.75,0.93,Enterococcus hirae (chromosome): 1; ,10000000,2.3,0.18
tet(o/m/o),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,11,17.24,0.86,,10000000,2.11,0.16
tet(o/w),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,14,40.52,1.09,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,2.68,0.21
tet(o/w/32/o),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,11,29.53,0.86,,10000000,2.11,0.16
tet(q),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,89.2097,99.49,Bacteroides ovatus (chromosome),89,100.0,6.32,Bacteroides ovatus (chromosome): 5; Phocaeicola dorei (chromosome): 3; Bacteroides fragilis (chromosome): 1; ,10000000,17.06,1.21
tet(w),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.22,Trueperella pyogenes (chromosome),174,100.0,12.78,,10000000,33.35,2.45
tet(w/32/o),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,18.7,0.21,Trueperella pyogenes (chromosome): 1; ,10000000,0.58,0.04
tet(w/n/w),AMR_TR-DNA-NOVA1-09-zpst_S75,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,21,43.44,1.64,,10000000,4.03,0.31
tolc,AMR_TR-DNA-NOVA1-09-zpst_S75,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,21,68.82,2.07,,10000000,4.03,0.4
vanw gene in vang cluster,AMR_TR-DNA-NOVA1-09-zpst_S75,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,31.56,0.71,,10000000,0.77,0.14
yoji,AMR_TR-DNA-NOVA1-09-zpst_S75,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,6,27.8,0.55,,10000000,1.15,0.11
aad(6),AMR_TR-DNA-NOVA1-09-zpre_S76,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,28.16,0.36,,10000000,0.2,0.04
ant(4')-iia,AMR_TR-DNA-NOVA1-09-zpre_S76,ANT(4'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,2.37,0.07,,10000000,0.3,0.01
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-09-zpre_S76,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,47,34.82,0.59,,10000000,4.7,0.06
campylobacter coli chloramphenicol acetyltransferase,AMR_TR-DNA-NOVA1-09-zpre_S76,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,42.79,0.96,Klebsiella pneumoniae (chromosome): 2; ,10000000,0.4,0.1
cbla-1,AMR_TR-DNA-NOVA1-09-zpre_S76,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,4,30.3,0.61,,10000000,0.4,0.06
cfxa3,AMR_TR-DNA-NOVA1-09-zpre_S76,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,15,79.92,2.25,,10000000,1.5,0.22
crp,AMR_TR-DNA-NOVA1-09-zpre_S76,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,6,47.39,1.42,,10000000,0.6,0.14
dfrf,AMR_TR-DNA-NOVA1-09-zpre_S76,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,8,77.37,2.0,,10000000,0.8,0.2
ec-13,AMR_TR-DNA-NOVA1-09-zpre_S76,EC beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,4,7.14,0.29,,10000000,0.4,0.03
ermb,AMR_TR-DNA-NOVA1-09-zpre_S76,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,26,74.03,4.82,,10000000,2.6,0.48
ermf,AMR_TR-DNA-NOVA1-09-zpre_S76,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,36.83,0.37,,10000000,0.4,0.04
evgs,AMR_TR-DNA-NOVA1-09-zpre_S76,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,8,12.13,0.33,,10000000,0.8,0.03
lnuc,AMR_TR-DNA-NOVA1-09-zpre_S76,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,39.19,0.61,,10000000,0.2,0.06
mef(en2),AMR_TR-DNA-NOVA1-09-zpre_S76,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,6,38.64,0.56,,10000000,0.6,0.06
tet(32),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,49.0625,99.36,Unknown taxonomy (chromosome),21,52.86,1.57,Bifidobacterium longum (chromosome): 1; ,10000000,2.1,0.16
tet(40),AMR_TR-DNA-NOVA1-09-zpre_S76,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,8,53.15,0.98,,10000000,0.8,0.1
tet(o),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,71.0938,97.775,Unknown taxonomy (chromosome or plasmid),121,93.33,7.92,Streptococcus suis (chromosome): 9; Streptococcus suis (chromosome or plasmid): 8; Anaerostipes hadrus (chromosome or plasmid): 3; ,10000000,12.1,0.79
tet(o/32/o),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12,23.39,0.94,,10000000,1.2,0.09
tet(o/m/o),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,12.6,0.23,Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,0.3,0.02
tet(o/w/32/o),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,9,26.25,0.7,,10000000,0.9,0.07
tet(q),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,46.0486,97.19,Unknown taxonomy (chromosome),75,88.45,5.11,Bacteroides ovatus (chromosome): 2; ,10000000,7.5,0.51
tet(w),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,97.97,Unknown taxonomy (chromosome or plasmid),175,100.0,12.8,Bifidobacterium longum (chromosome): 1; ,10000000,17.5,1.28
tet(w/n/w),AMR_TR-DNA-NOVA1-09-zpre_S76,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,9,10.26,0.7,,10000000,0.9,0.07
vanr gene in vang cluster,AMR_TR-DNA-NOVA1-09-zpre_S76,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,42.94,0.06,,10000000,0.3,0.01
vans gene in vand cluster,AMR_TR-DNA-NOVA1-09-zpre_S76,vanS; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,13.11,0.4,,10000000,0.3,0.04
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-09-6mo_S78,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,72,39.34,0.65,Bifidobacterium longum (chromosome): 2; ,10000000,10.17,0.09
campylobacter coli chloramphenicol acetyltransferase,AMR_TR-DNA-NOVA1-09-6mo_S78,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,10,66.03,1.81,,10000000,1.41,0.26
cbla-1,AMR_TR-DNA-NOVA1-09-6mo_S78,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,16,55.89,2.27,,10000000,2.26,0.32
cfxa4,AMR_TR-DNA-NOVA1-09-6mo_S78,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,41,100.0,5.06,,10000000,5.79,0.71
dfrf,AMR_TR-DNA-NOVA1-09-6mo_S78,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,56.77,0.57,,10000000,0.28,0.08
ermb,AMR_TR-DNA-NOVA1-09-6mo_S78,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,6,50.33,1.07,Enterococcus faecalis (chromosome or plasmid): 2; ,10000000,0.85,0.15
ermf,AMR_TR-DNA-NOVA1-09-6mo_S78,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,12,48.81,2.25,,10000000,1.69,0.32
lnuc,AMR_TR-DNA-NOVA1-09-6mo_S78,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,36.97,0.61,,10000000,0.28,0.09
mef(en2),AMR_TR-DNA-NOVA1-09-6mo_S78,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Bacteroides fragilis (chromosome),96,100.0,11.31,,10000000,13.56,1.6
mel,AMR_TR-DNA-NOVA1-09-6mo_S78,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,2,24.63,0.25,,10000000,0.28,0.04
tet(32),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,27.0312,97.11,Unknown taxonomy (chromosome),50,60.1,3.47,Bifidobacterium longum (chromosome): 1; ,10000000,7.06,0.49
tet(40),AMR_TR-DNA-NOVA1-09-6mo_S78,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,8,50.53,0.98,,10000000,1.13,0.14
tet(o),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,83.75,98.355,Anaerostipes hadrus (chromosome or plasmid) Streptococcus (chromosome or plasmid),51,97.6,3.87,Enterococcus hirae (chromosome or plasmid): 4; Streptococcus suis (chromosome or plasmid): 2; Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,7.2,0.55
tet(o/32/o),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,23.49,0.31,,10000000,0.56,0.04
tet(o/w),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7,36.82,0.55,,10000000,0.99,0.08
tet(o/w/32/o),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,7.81,0.39,,10000000,0.71,0.06
tet(q),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,30.0912,97.47,Unknown taxonomy (chromosome),136,99.8,9.39,Bacteroides ovatus (chromosome): 2; Bacteroides fragilis (chromosome): 1; Phocaeicola dorei (chromosome): 1; ,10000000,19.21,1.33
tet(w),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.84,Unknown taxonomy (chromosome),199,100.0,14.88,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,28.11,2.1
tet(w/n/w),AMR_TR-DNA-NOVA1-09-6mo_S78,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,19.64,0.47,,10000000,0.85,0.07
aph(2'')-iia,AMR_TR-DNA-NOVA1-09-30d_S77,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,15.33,0.31,,10000000,0.24,0.04
aph(3')-iiia,AMR_TR-DNA-NOVA1-09-30d_S77,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,15.09,0.3,,10000000,0.24,0.04
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-09-30d_S77,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,43,34.91,0.48,,10000000,5.07,0.06
bifidobacterium bifidum iles conferring resistance to mupirocin,AMR_TR-DNA-NOVA1-09-30d_S77,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,8,4.51,0.36,,10000000,0.94,0.04
campylobacter coli chloramphenicol acetyltransferase,AMR_TR-DNA-NOVA1-09-30d_S77,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,9,82.53,1.93,Klebsiella pneumoniae (chromosome): 2; ,10000000,1.06,0.23
cbla-1,AMR_TR-DNA-NOVA1-09-30d_S77,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,4,28.06,0.67,,10000000,0.47,0.08
cfxa3,AMR_TR-DNA-NOVA1-09-30d_S77,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,5,18.43,0.62,,10000000,0.59,0.07
dfrf,AMR_TR-DNA-NOVA1-09-30d_S77,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,13,96.77,3.27,,10000000,1.53,0.39
ermb,AMR_TR-DNA-NOVA1-09-30d_S77,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,32.26,0.32,Enterococcus faecalis (chromosome or plasmid): 1; ,10000000,0.24,0.04
mef(en2),AMR_TR-DNA-NOVA1-09-30d_S77,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,21,60.2,2.37,,10000000,2.48,0.28
tet(32),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,99.6875,89.58,Unknown taxonomy (chromosome),75,88.07,5.22,,10000000,8.84,0.62
tet(40),AMR_TR-DNA-NOVA1-09-30d_S77,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,10,23.18,1.15,Faecalibacterium prausnitzii (chromosome): 1; ,10000000,1.18,0.14
tet(44),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,24.337,99.36,Unknown taxonomy (chromosome),55,70.83,2.98,Streptococcus suis (chromosome): 6; ,10000000,6.48,0.35
tet(o),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,77.5,94.51499999999999,Enterococcus hirae (chromosome or plasmid) Unknown taxonomy (chromosome or plasmid),84,92.76,5.38,Streptococcus suis (chromosome or plasmid): 3; ,10000000,9.9,0.63
tet(o/m/o),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,14,19.58,1.09,,10000000,1.65,0.13
tet(o/w/32/o),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,10.05,0.31,,10000000,0.47,0.04
tet(q),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,25.8359,100.0,Unknown taxonomy (chromosome),70,88.3,4.65,Bacteroides fragilis (chromosome): 4; ,10000000,8.25,0.55
tet(w),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,79.6875,98.42500000000001,Unknown taxonomy (chromosome),137,90.73,9.71,Bifidobacterium longum (chromosome): 4; ,10000000,16.15,1.14
tet(w/n/w),AMR_TR-DNA-NOVA1-09-30d_S77,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,17,28.23,1.33,,10000000,2.0,0.16
vans gene in vand cluster,AMR_TR-DNA-NOVA1-09-30d_S77,vanS; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,8.55,0.26,,10000000,0.83,0.03
vanw gene in vang cluster,AMR_TR-DNA-NOVA1-09-30d_S77,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,15.48,0.31,,10000000,0.24,0.04
aads,AMR_TR-DNA-NOVA1-08-pst_S72,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,69.33,0.96,,10000000,1.17,0.16
acrb,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,4.76,0.1,,10000000,0.33,0.02
acrd,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,6.0,15.67,0.1,,10000000,1.0,0.02
acrf,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,8.0,29.6,0.19,,10000000,1.34,0.03
acrs,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,30.47,0.38,,10000000,0.33,0.06
adef,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,98.4906,42.56,,,,,,10000000,0.0,0.0
aph(3'')-ib,AMR_TR-DNA-NOVA1-08-pst_S72,APH(3''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,42.16,0.37,,10000000,0.67,0.06
aph(3')-iiia,AMR_TR-DNA-NOVA1-08-pst_S72,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,47.04,1.32,,10000000,1.17,0.22
aph(6)-id,AMR_TR-DNA-NOVA1-08-pst_S72,APH(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,26.4,0.72,,10000000,0.67,0.12
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-08-pst_S72,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,105.0,65.26,1.18,Bifidobacterium longum (chromosome): 4; ,10000000,17.53,0.2
bifidobacterium bifidum iles conferring resistance to mupirocin,AMR_TR-DNA-NOVA1-08-pst_S72,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,8.0,16.0,0.36,,10000000,1.34,0.06
cbla-1,AMR_TR-DNA-NOVA1-08-pst_S72,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,1,Strict,99.6633,98.31,Phocaeicola dorei (no genomic info),51.0,100.0,7.45,,10000000,8.52,1.24
cepa,AMR_TR-DNA-NOVA1-08-pst_S72,CepA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,12.0,87.82,1.66,Bacteroides fragilis (chromosome): 10; ,10000000,2.0,0.28
cfxa,AMR_TR-DNA-NOVA1-08-pst_S72,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,6.0,47.93,0.93,,10000000,1.0,0.16
cfxa6,AMR_TR-DNA-NOVA1-08-pst_S72,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,63.0,25.1,0.29,,10000000,10.52,0.05
crp,AMR_TR-DNA-NOVA1-08-pst_S72,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,1.0,13.9,0.14,,10000000,0.17,0.02
